Country Name,P2014,TMI,TFR, EVT , EVH , EVM , REG , ARE ,INC,OOS,TNT,TSB,ABS,GDP,IPC,ISR,MCS,TDS
Afghanistan,31627506,68.1,4.84,60.37,59.19,61.62,South Asia,Asia & Oceania,578.190367,34.50178,34.225,46.8,2.067824648,633.569247,4.604334009,6.39,74.88284241,9.100000381
Albania,2894475,12.9,1.78,77.83,75.37,80.42,Europe & Central Asia,Europe,3803.962546,4.34296,13.414,0,28.1919708,4564.390339,1.631777988,60.1,105.4699657,16.10000038
Algeria,38934334,22,2.86,74.81,72.51,77.22,Middle East & North Africa,Africa,4223.351584,0,24.309,0,0.818057387,5484.066806,2.916406413,18.09,92.94793073,9.5
American Samoa,55434,,,,,,East Asia & Pacific,Asia & Oceania,0,0,0,0,87.9,0,0,0,0,0
Andorra,72786,2.1,,,,,Europe & Central Asia,Europe,0,0,0,0,34.04255319,0,0,95.9,82.64319489,0
Angola,24227524,98.8,6.08,52.27,50.8,53.81,Sub-Saharan Africa,Africa,0,0,45.483,0,46.50741959,0,7.279561541,21.26,63.4792082,6.800000191
Antigua and Barbuda,90900,6.1,2.08,75.94,73.54,78.45,Latin America & Caribbean,America,0,3.67382,16.319,0,22.27272727,13432.07933,1.089441574,64,132.0539476,0
Argentina,42980026,11.5,2.32,76.16,72.44,80.06,Latin America & Caribbean,America,10779.20656,0,17.544,0,10.01531047,12509.53112,0,64.7,158.7985611,8.199999809
Armenia,3006154,13.2,1.53,74.68,70.94,78.59,Europe & Central Asia,Europe,3493.848227,0,13.157,0,11.65437302,3873.533566,2.980988073,46.3,115.9232102,17.10000038
Aruba,103441,,1.66,75.45,73.08,77.95,Latin America & Caribbean,America,0,0,10.124,0,2.333333333,0,0.420998172,83.78,135.0658893,0
Australia,23470118,3.2,1.86,82.25,80.3,84.3,East Asia & Pacific,Asia & Oceania,47744.92476,0,12.9,0,16.19866446,61979.89629,2.487922705,84.56,131.2305468,6
Austria,8545908,3,1.44,81.34,78.8,84,Europe & Central Asia,Europe,41558.99462,0,9.6,0,46.85754444,51122.42531,1.605805605,81,151.9112515,5
Azerbaijan,9535079,28.9,2,70.76,67.69,73.99,Europe & Central Asia,Europe,5735.233031,12.60473,17.9,0,13.46713607,7886.459144,1.385028931,61,110.9053634,5.199999809
"Bahamas, The",383054,10.2,1.87,75.23,72.28,78.34,Latin America & Caribbean,America,19437.6613,0,15.199,0,51.44855145,22217.49414,1.504464399,76.92,82.29635806,15.39999962
Bahrain,1361930,5.6,2.06,76.68,75.77,77.64,Middle East & North Africa,Asia & Oceania,0,0,14.636,0,0.766233766,24855.21564,2.651195499,90.99998,173.2739335,3.900000095
Bangladesh,159077513,32.1,2.18,71.63,70.4,72.91,South Asia,Asia & Oceania,1034.819519,0,19.796,0,10.99792579,1086.807079,6.991165327,9.6,80.03535051,4.300000191
Barbados,283380,12.3,1.79,75.5,73.15,77.96,Latin America & Caribbean,America,0,1.27241,12.098,0,14.65116279,15366.29261,1.887170246,76.67,128.7304328,12
Belarus,9470000,3.5,1.62,72.98,68,78.2,Europe & Central Asia,Europe,6767.702972,0.10418,12.5,0,42.45034744,8040.047557,18.11955435,59.02,122.5011386,5.900000095
Belgium,11231213,3.4,1.75,80.59,78.1,83.2,Europe & Central Asia,Europe,38724.83401,0,11.1,0,22.55482166,47327.62046,0.34,85,114.2699575,8.5
Belize,351706,14.6,2.58,70.08,67.36,72.94,Latin America & Caribbean,America,0,0,22.933,0,60.11924594,4831.177552,1.201399645,38.7,50.712566,11.5
Benin,10598482,65.7,4.77,59.51,58.11,60.98,Sub-Saharan Africa,Africa,834.4618407,0,36.008,0,38.67506208,903.464924,-1.085744469,5.3,99.65221977,1
Bermuda,65181,,1.63,80.8,77.09,84.69,North America,America,0,0,10.5,0,20,0,0,96.8,90.88006599,0
Bhutan,765008,28.3,2.03,69.47,69.22,69.73,South Asia,Asia & Oceania,1795.179941,16.20976,17.726,0,72.01537372,2560.501154,8.206545146,34.37,82.07006186,2.799999952
Bolivia,10561887,31.7,2.97,68.34,65.94,70.86,Latin America & Caribbean,America,2402.674284,0,23.896,0,50.81971753,3124.080762,5.783563722,39.02,96.33724828,2.700000048
Bosnia and Herzegovina,3817554,5.4,1.26,76.43,73.96,79.03,Europe & Central Asia,Europe,0,0,8.947,0,42.67578125,4851.66035,0,60.8,91.27895029,27.89999962
Botswana,2219937,35.6,2.84,64.43,62.14,66.83,Sub-Saharan Africa,Africa,5520.909625,0,24.972,0,19.3076068,7123.339241,4.40313594,18.5,167.2975939,18.20000076
Brazil,206077898,14.4,1.79,74.4,70.74,78.25,Latin America & Caribbean,America,9843.69736,0,14.727,0,59.16651312,11726.80588,6.332092342,57.6,138.9514906,6.800000191
Brunei Darussalam,417394,8.5,1.87,78.81,76.99,80.72,East Asia & Pacific,Asia & Oceania,0,2.31194,16.043,0,72.10626186,40979.64194,-0.194426292,68.77,110.0570645,3.799999952
Bulgaria,7223938,9.7,1.48,75.41,71.7,79.3,Europe & Central Asia,Europe,6589.704352,2.17705,9.4,0,35.05711127,7851.265428,-1.418122662,55.49,137.7065953,11.60000038
Burkina Faso,17589198,62.2,5.52,58.59,57.31,59.93,Sub-Saharan Africa,Africa,572.1278671,0,40.025,0,19.77266082,713.0638897,-0.258089518,9.4,71.73746951,3.099999905
Burundi,10816860,55.8,5.95,56.69,54.75,58.73,Sub-Saharan Africa,Africa,204.4298748,30.63968,43.867,30.3,10.56853583,286.0023359,4.379840041,1.38,30.46201036,6.900000095
